rank,index,block,field,hashed,mi_score
227,2534,pefilewarnings,pewarn:Invalid type 0x...,False,0.001380501622530339
228,825,section,section.sizes_hashed[44],True,0.0013883044546270096
229,1133,imports,imports.libraries_hashed[137],True,0.0014010358312279703
230,2544,pefilewarnings,pewarn:RVA AddressOfNames in the export directory points to an invalid...,False,0.0014064327137772725
231,737,header,coff.characteristics:NET_RUN_FROM_SWAP,False,0.0014198253780175474
232,1152,imports,imports.libraries_hashed[156],True,0.0014222462551138904
233,1249,imports,imports.libraries_hashed[253],True,0.0014316766816684368
234,2438,datadirectories,has_dynamic_relocs,False,0.0014360286245920229
235,1166,imports,imports.libraries_hashed[170],True,0.001443284639813136
236,2539,pefilewarnings,pewarn:Relocating image but PE does not have (or pefile cannot parse) a DIRECTORY_ENTRY_BASERELOC...,False,0.0014610150113336662
237,851,section,section.vsize_hashed[20],True,0.001467707922634176
238,996,imports,imports.libraries_hashed[0],True,0.0014692173181334311
239,2535,pefilewarnings,pewarn:Invalid VS_VERSION_INFO block...,False,0.0014715439438874878
240,1106,imports,imports.libraries_hashed[110],True,0.0014736073328227572
241,1187,imports,imports.libraries_hashed[191],True,0.0014737058936802327
242,901,section,section.entropy_hashed[20],True,0.0014777358735476032
243,1163,imports,imports.libraries_hashed[167],True,0.0014833274740204683
244,2550,pefilewarnings,pewarn:The Bound Imports directory exists but can't be parsed...,False,0.0014845952052358058
245,1019,imports,imports.libraries_hashed[23],True,0.001524929427507482
246,1141,imports,imports.libraries_hashed[145],True,0.0015391871819534497
247,1202,imports,imports.libraries_hashed[206],True,0.0015468385966161957
248,1061,imports,imports.libraries_hashed[65],True,0.0015536297663700793
249,1095,imports,imports.libraries_hashed[99],True,0.0015663490236790256
250,2427,datadirectories,datadir.BOUND_IMPORT.size,False,0.001592900265203978
251,2436,datadirectories,datadir.RESERVED.virtual_address,False,0.0015954516524652185
252,626,strings,string_count_/tmp/,False,0.0015981248595220432
253,826,section,section.sizes_hashed[45],True,0.001613671460725774
254,1094,imports,imports.libraries_hashed[98],True,0.001623101002035554
255,1200,imports,imports.libraries_hashed[204],True,0.0016420488702706404
256,1230,imports,imports.libraries_hashed[234],True,0.0016577896955598526
257,1007,imports,imports.libraries_hashed[11],True,0.0016663465638315778
